date_time,pm25,hcho,tvoc,temperature,humidity
25/8/2021 6:00,24.25,1.416666667,225.4166667,33.11666667,65.14166667
25/8/2021 7:00,24.41666667,1.833333333,226,32.95833333,66.08333333
25/8/2021 8:00,25.18181818,1.818181818,224.9090909,32.82727273,66.98181818
25/8/2021 9:00,28.58333333,2.083333333,225.4166667,32.61666667,68.21666667
25/8/2021 10:00,25.5,2,224.5,32.5,68
25/8/2021 11:00,24.5,2,224.9166667,32.43333333,68.23333333
25/8/2021 12:00,24.5,1.416666667,224.8333333,32.45,68.49166667
25/8/2021 13:00,20.41666667,1.75,226.4166667,33.41666667,63.51666667
25/8/2021 14:00,24.33333333,1.833333333,226.0833333,33.48333333,64.39166667
25/8/2021 15:00,21.75,2.166666667,225.5833333,33.31666667,64.38333333
25/8/2021 16:00,21.58333333,1.75,226.0833333,33.4,64.36666667
25/8/2021 17:00,21.91666667,1.666666667,225.8333333,33.49166667,62.7
25/8/2021 18:00,22.25,2,226.3333333,33.51666667,61.49166667
25/8/2021 19:00,24.16666667,2.083333333,226.0833333,33.8,61.08333333
25/8/2021 20:00,22.66666667,1.916666667,226.4166667,33.975,60.26666667
25/8/2021 21:00,18.16666667,1.416666667,227.6666667,34.18333333,57.58333333
25/8/2021 22:00,13.33333333,2.25,226.0833333,34.35833333,53.14166667
25/8/2021 23:00,12.08333333,1.583333333,226.3333333,34.5,52.25833333
26/8/2021 0:00,9.833333333,1.916666667,226.25,34.60833333,49.9
26/8/2021 1:00,9.083333333,1.583333333,226.5,34.70833333,49.05
26/8/2021 2:00,10.66666667,2.166666667,226.1666667,34.7,49.79166667
26/8/2021 3:00,12.33333333,2.166666667,227.0833333,34.63333333,51.525
26/8/2021 4:00,15.83333333,1.833333333,227.9166667,34.525,52.8
26/8/2021 5:00,19,1.166666667,225.0833333,33.85833333,55.75833333
26/8/2021 6:00,18,2.166666667,225.4166667,33.06666667,58.64166667
26/8/2021 7:00,20.66666667,1.75,225.9166667,33.04166667,60.55833333
26/8/2021 8:00,18.75,1.416666667,225.3333333,33.00833333,61.84166667
26/8/2021 9:00,18.5,1.916666667,225.4166667,32.74166667,61.95
26/8/2021 10:00,18.58333333,1.75,225.0833333,32.59166667,62.71666667
26/8/2021 11:00,16.16666667,1.916666667,225.75,32.4,63.64166667
26/8/2021 12:00,13.58333333,2.666666667,226.0833333,32.74166667,62.79166667
26/8/2021 13:00,13.16666667,1.333333333,226.0833333,33.725,61.04166667
26/8/2021 14:00,12.5,2,225.8333333,33.35,64.8
26/8/2021 15:00,10.66666667,2,226.75,33.15833333,66.23333333
26/8/2021 16:00,14.16666667,1.666666667,226.5,33.31666667,66.68333333
26/8/2021 17:00,13.58333333,2.25,225.4166667,33.31666667,64.69166667
26/8/2021 18:00,15.83333333,1.416666667,226.6666667,33.50833333,62.91666667
26/8/2021 19:00,14.66666667,2.5,226.5,33.75833333,61.45
26/8/2021 20:00,11,1.333333333,226.5,33.94166667,59.90833333
26/8/2021 21:00,9.818181818,1.363636364,225.4545455,34.05454545,59.65454545
26/8/2021 22:00,6.5,1.5,227,33.975,58.85
26/8/2021 23:00,5.75,2.25,225.75,34.05833333,58.875
27/8/2021 0:00,7,1.75,228.3333333,34.15,59.375
27/8/2021 1:00,7.666666667,1.916666667,232.3333333,34.23333333,57.225
27/8/2021 2:00,10.41666667,1.666666667,241.25,34.325,58.975
27/8/2021 3:00,11.16666667,1.416666667,232.3333333,34.30833333,63.34166667
27/8/2021 4:00,11.41666667,1.666666667,229.5833333,34.225,60.975
27/8/2021 5:00,12.33333333,1.75,232.5,33.80833333,62.325
27/8/2021 6:00,11.83333333,2,225.4166667,33.4,63.20833333
27/8/2021 7:00,12.41666667,1.666666667,225.3333333,33.24166667,64.18333333
27/8/2021 8:00,13.36363636,1.363636364,225.4545455,33.11818182,66.13636364
27/8/2021 9:00,7.833333333,1.916666667,225.1666667,32.68333333,66.11666667
